Estación,Longitud,Latitud,Cluster
713,-99.16348201,19.42543618,3
714,-99.16377865,19.42567599,3
715,-99.16384756,19.426179,3
716,-99.16424832,19.42540411,3
717,-99.15793831,19.42599673,3
718,-99.15862004,19.42583527,3
719,-99.15963225,19.42582698,3
720,-99.15813201,19.42609211,3
721,-99.16018981,19.42601365,3
722,-99.15857896,19.42590943,3
723,-99.16125903,19.42638956,3
724,-99.16054338,19.42653077,3
725,-99.15922202,19.42622858,3
726,-99.16190858,19.4265,3
727,-99.15891172,19.42625363,3
728,-99.15780203,19.42592085,3
729,-99.15801374,19.4261874,3
730,-99.15723397,19.42588831,3
731,-99.16128498,19.4264443,3
732,-99.15750279,19.42638323,3
733,-99.15788476,19.42567108,3
734,-99.15794023,19.42617876,3
735,-99.16093438,19.42596835,3
736,-99.16040828,19.42624098,3
737,-99.16102336,19.42621251,3
738,-99.15833124,19.42634039,3
739,-99.17330814,19.42136812,3
740,-99.17108895,19.42118899,3
741,-99.1707219,19.42162933,3
742,-99.17382339,19.42121368,3
743,-99.17000275,19.42114049,3
744,-99.17280183,19.42105316,3
745,-99.17399802,19.42122406,3
746,-99.17408345,19.42140783,3
747,-99.17028071,19.4216121,3
748,-99.17407016,19.42123286,3
749,-99.1698968,19.422068,3
750,-99.16952405,19.42202177,3
751,-99.16701802,19.42214097,3
752,-99.16882266,19.42239951,3
753,-99.16959093,19.42189758,3
754,-99.16960422,19.42238938,3
755,-99.16562449,19.42254049,3
756,-99.16852594,19.42265839,3
757,-99.16562991,19.4226889,3
758,-99.16889284,19.42273812,3
759,-99.16626386,19.42196656,3
760,-99.16816884,19.42180386,3
761,-99.16630745,19.4222773,3
762,-99.16765071,19.42182189,3
763,-99.16767414,19.42235668,3
764,-99.16707573,19.42230085,3
765,-99.16783472,19.42212924,3
766,-99.1639549,19.42415495,3
767,-99.16318182,19.42421342,3
768,-99.16285995,19.42390272,3
769,-99.16189145,19.42385228,3
770,-99.16151964,19.42436021,3
771,-99.16357545,19.42433871,3
772,-99.16100255,19.42388562,3
773,-99.15884284,19.4235869,3
774,-99.16155255,19.42396804,3
775,-99.15945532,19.42326847,3
776,-99.16200268,19.42402312,3
777,-99.16031047,19.42347382,3
778,-99.15912191,19.42335176,3
779,-99.14743051,19.43709759,3
780,-99.14607259,19.43749589,3
781,-99.14751523,19.43726108,3
782,-99.14859822,19.43752759,3
783,-99.14494533,19.43706454,3
784,-99.14694845,19.43727627,3
785,-99.14475182,19.43754278,3
786,-99.14632183,19.43754553,3
787,-99.1442125,19.43686636,3
788,-99.14813368,19.43694348,3
789,-99.14722386,19.43694447,3
790,-99.16551448,19.42245743,3
791,-99.16443603,19.42200571,3
792,-99.16544715,19.42240055,3
793,-99.16331022,19.42208779,3
794,-99.16668841,19.42186295,3
795,-99.16448647,19.42184957,3
796,-99.16528495,19.42160377,3
797,-99.14009966,19.43680898,3
798,-99.14117069,19.43650309,3
799,-99.14161981,19.43715295,3
800,-99.14106697,19.43707707,3
801,-99.1436647,19.43684011,3
802,-99.14393026,19.43652017,3
803,-99.14258219,19.43664869,3
804,-99.14216708,19.43632,3
805,-99.1417522,19.43685433,3
806,-99.14371116,19.43636057,3
807,-99.16920148,19.41958377,3
808,-99.17222999,19.41915206,3
809,-99.17202864,19.41916797,3
810,-99.16924983,19.4191186,3
811,-99.17282853,19.4198268,3
812,-99.17100797,19.41924046,3
813,-99.17200482,19.41907819,3
814,-99.17298736,19.41971466,3
815,-99.16844035,19.41995538,3
816,-99.16719953,19.42052819,3
817,-99.16867743,19.42015926,3
818,-99.17041996,19.42061555,3
819,-99.16630756,19.42045744,3
820,-99.16801403,19.42006352,3
821,-99.16764413,19.4197687,3
822,-99.16764114,19.41965,3
823,-99.16680967,19.41999037,3
824,-99.1683849,19.41970167,3
825,-99.16867397,19.41991865,3
826,-99.16469706,19.42038107,3
827,-99.16538247,19.42048189,3
828,-99.168105,19.42021691,3
829,-99.16609397,19.42107551,3
830,-99.16398285,19.42111472,3
831,-99.1659179,19.42110032,3
832,-99.16631173,19.42059287,3
833,-99.16784985,19.42095119,3
834,-99.16588002,19.42101376,3
835,-99.16718201,19.42046788,3
836,-99.16807125,19.42066035,3
837,-99.16081207,19.42082324,3
838,-99.16065339,19.42104103,3
839,-99.16315027,19.42119756,3
840,-99.16171673,19.42112631,3
841,-99.16280588,19.42055015,3
842,-99.16032035,19.42114713,3
843,-99.14348156,19.43564495,3
844,-99.14466758,19.43515697,3
845,-99.14069419,19.43563471,3
846,-99.17041443,19.41821307,3
847,-99.17069475,19.4187115,3
848,-99.17075599,19.41831733,3
849,-99.17285111,19.41805329,3
850,-99.17300104,19.41776137,3
851,-99.17284694,19.41866944,3
852,-99.17165123,19.41783734,3
853,-99.1733554,19.41841378,3
854,-99.17387196,19.41772929,3
855,-99.17395769,19.41772121,3
856,-99.16995568,19.41832958,3
857,-99.16931439,19.4187882,3
858,-99.16819595,19.41836985,3
859,-99.16848489,19.41838392,3
860,-99.17160616,19.4185558,3
861,-99.17081837,19.41834712,3
862,-99.1708615,19.41845465,3
863,-99.16893601,19.41818077,3
864,-99.17018104,19.41853304,3
865,-99.16444068,19.41951664,3
866,-99.16608601,19.41994569,3
867,-99.16480162,19.41953939,3
868,-99.16603615,19.41969334,3
869,-99.16598394,19.41948966,3
